Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	109	2.8056628056628057	4.39432533224839E-19	Q921F2, Q5ZIQ3, Q9UPN6, Q7ZT82, Q5R5X0, P23246, Q4WHG0, Q5R5W2, Q7SAF6, Q9DC48, O35286, Q8R3N6, Q5R469, Q96SB3, B6EUA9, P47845, Q10051, Q00916, O62703, O08837, A6NFN3, Q13148, P92948, Q5RAZ4, O15116, A0JMU8, P39682, Q3MHX3, Q6DII2, Q9CZU3, Q99PV0, Q7ZUG0, Q6PE01, Q91YR7, Q6P2Q9, O35796, Q55D17, Q8WN55, Q7ZVA6, P26369, Q7ZWA3, Q9BUQ8, Q5R8S0, Q7SXL7, Q3TIX9, O43251, Q13435, Q7KZ85, Q4R979, B1AZI6, Q96A72, Q6GLW1, Q95KI0, P57784, P63018, Q23121, P0CO94, Q7TMK9, P36048, A6QPR6, Q2HEB0, P31942, Q15428, Q15427, Q58F21, Q5NVN8, Q24562, P29341, Q8VYA5, P49756, Q0UAT0, Q8K194, Q5D018, O57683, Q9VUV9, Q7TSY6, Q4I7F9, Q5RC80, P62315, Q62384, O43143, Q8NI27, Q8BL97, Q15393, Q9NW13, P84104, Q5NVD0, Q9H0Z9, Q569Z5, Q9D554, O35900, A7SD85, Q9WV25, Q5RDT5, Q9JJ43, Q812D3, Q5F3X4, Q9D0B0, Q9V535, Q3T0D0, Q52G60, O54781, Q5R1W5, Q5ZML3, Q8VE97, O01159, Q05519, Q5R8W6, Q6PG31	3423	187	12653	2.1546240358943356	2.459503888459424E-15	2.459503888459424E-15	8.4619464306085E-16
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	141	3.6293436293436296	7.902937202399533E-18	Q6NWC6, Q921F2, Q9UPN6, Q5ZIQ3, Q9WU01, Q7ZT82, P23246, Q5R5X0, Q4WHG0, Q5R5W2, Q7SAF6, O43390, Q9DC48, Q8N6W0, Q6CDH3, A4IIM2, O35286, Q5R469, Q8R3N6, Q5ZIP4, Q9P2N5, P47845, Q10051, Q00916, A0JM51, Q04836, O62703, O08837, P19682, A6NFN3, P92948, Q13148, Q9EPU4, Q5RAZ4, O15116, Q15459, A1CRM1, A0JMU8, P39682, Q3MHX3, Q6DII2, Q5ZI08, Q9CZU3, Q99PV0, Q7ZUG0, Q6PE01, Q6FQU5, Q6NVF9, Q91YR7, Q63627, Q6P2Q9, O35796, Q55D17, Q86U06, Q8WN55, Q7ZVA6, P26369, Q7ZWA3, Q5R8S0, Q7SXL7, Q3TIX9, O43251, Q13435, Q7KZ85, Q4R979, B1AZI6, Q96A72, Q6GLW1, Q95KI0, P57784, P63018, Q23121, P0CO94, Q7TMK9, P36048, A6QPR6, Q2HEB0, Q15428, Q15427, Q9Z1B3, Q58F21, P51400, Q5NVN8, Q24562, P29341, Q93W34, P49756, Q5R9H4, Q8K194, O42958, Q5D018, Q0U1G2, O57683, Q7TSY6, Q4I7F9, Q7XMK8, A3LXL0, Q5RC80, P62315, Q91VR5, Q62384, O43143, Q9IBD1, Q8BL97, Q15393, Q9NW13, Q5RDW9, Q6L8Q7, Q4KMD7, P84104, Q5NVD0, Q9H0Z9, Q569Z5, A1D4K4, Q9D554, O15234, O35900, Q6DJE4, A7SD85, Q99181, Q8R081, Q9WV25, Q5RDT5, Q6C024, Q2T9I5, Q9JJ43, Q812D3, Q5F3X4, Q9D0B0, Q9V535, Q3T0D0, Q52G60, O54781, Q5R1W5, Q5ZML3, Q8VE97, O01159, Q5B3I8, Q05519, Q6PG31, Q5B630	3423	274	12653	1.9021955385530684	4.4232739521830186E-14	2.2116369760915093E-14	1.5218315940424723E-14
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	79	2.0334620334620337	1.358419784717849E-15	P46940, Q5ZLT7, Q5ZIQ3, Q01082, Q9R172, O00571, Q8WU90, Q01970, P55196, Q96PY5, O35509, Q3T000, Q9UNF0, P61314, Q9Z1Z3, P16086, Q9UJU6, P15880, Q7Z478, Q86W92, O00567, O75369, O60749, Q13813, Q8CBW3, Q8C525, Q96JJ3, O08679, Q15149, Q08093, D3ZHV2, Q80X90, Q99JE6, Q62920, A0FGR8, Q9CX00, Q3MHN0, Q91Y81, Q8NC51, Q9UHB6, A7Z035, Q6NZJ6, Q6P1N0, Q9HC38, P30427, Q8CHU3, Q17QG2, P51610, Q15056, Q7KZF4, Q9WV25, Q3TZZ7, Q9QXS1, Q96AG4, Q8BVD5, Q6ZQ58, Q2KJA1, Q61191, O70400, Q9Z254, Q80U72, Q8VDJ3, Q8BK64, P35611, P51432, P41541, P22061, Q9QWN8, Q5E946, Q92616, Q3T0D0, Q91VX2, Q13177, Q2YGT9, Q7KZI7, P14618, O43795, P53367, Q4FZY0	3423	129	12653	2.2637266824740077	7.456701922592401E-12	2.4855673075308005E-12	2.5646151868841116E-12
GOTERM_BP_DIRECT	GO:0006457~protein folding	83	2.1364221364221363	3.063489319326889E-14	P63018, Q6P502, Q942L2, Q75M08, Q6EE31, Q9CQN1, P10111, Q5ZJK8, Q09912, P25007, Q8CDN6, O75695, Q9ERE7, Q2KIL5, Q06205, Q5T1M5, Q11004, Q7RXA6, Q8JG64, Q66H94, O75953, Q5I0H9, Q5D016, Q29RV1, Q8IXY8, O42993, O60884, Q5NVI9, P97615, Q5ZJ54, Q3SYT6, Q3ZCH0, Q4R6V2, O97125, A1A4P5, O74191, Q5RCG9, Q54EN4, P52014, Q6TUG0, Q02790, Q11067, Q17QG2, Q32PA9, P80315, Q9CR16, P13667, P80317, Q54SR7, P52193, Q5RAY0, P28480, Q8VX13, Q8VBT0, Q61W58, Q9Y3C6, Q95M18, P30946, P27824, Q812D3, Q9D1Q6, Q9BTW9, Q03958, Q5R941, Q8BK64, Q5ZIN1, P52555, Q91W90, Q7ZW86, Q63081, O14095, Q99615, Q76NU3, Q14697, Q05558, Q14318, Q9NZJ4, Q28205, Q55G93, Q9ERU9, P97576, O43447, Q80Y75	3423	144	12653	2.130601405524718	1.7150414421962523E-10	4.287603605490631E-11	5.900835375882707E-11
GOTERM_BP_DIRECT	GO:0006413~translational initiation	39	1.0038610038610039	7.260170883608397E-13	Q4G061, Q6GL89, B5FZ19, Q7L2H7, Q6NZJ6, P46778, Q6DRC4, Q9VTU4, Q9H074, P27639, P30050, O43432, Q3T058, Q15056, P61222, Q5E9D0, Q8JFP1, Q6ZQ58, O00303, Q9VXK6, Q7T2A5, Q6TH15, P46782, P15880, Q9M0D0, Q8BGD9, Q6PFQ2, Q02543, Q7Z478, Q3B8M3, Q80XI3, O60573, Q8BJW6, B5RI54, Q6PCR7, Q9QZ81, Q7YR37, Q64270, Q9UBQ5	3423	50	12653	2.883242769500438	4.063281155985976E-9	8.126562756061162E-10	1.3979706281475046E-9
GOTERM_BP_DIRECT	GO:0001731~formation of translation preinitiation complex	23	0.5920205920205921	1.3882840628913614E-9	Q8BGD9, Q4G061, Q5ZJ39, Q6PFQ2, Q7L2H7, B5FZ19, P20397, Q3B8M3, Q6DRC4, Q9VZS3, Q9VTU4, A2VD00, Q6PCR7, B5RI54, P79083, Q15056, A7SDW5, Q9UBQ5, O00303, Q7T2A5, Q6TH15, Q5ZMS3, Q5I0B5	3423	26	12653	3.2699498865143033	7.770195607492703E-6	1.29503679402454E-6	2.673353516335908E-6
GOTERM_BP_DIRECT	GO:0051028~mRNA transport	45	1.1583011583011582	2.4282167486928974E-9	P84104, A0JMU8, A1D4K4, Q9Z0W3, Q5U249, Q7ZX96, O42254, Q6FQU5, Q5RB68, P49793, O14089, P53067, P70581, Q55D17, Q8R3N6, Q38942, Q80U96, Q6PB66, P11654, Q5R9L3, Q8R0G9, Q7ZVA6, Q9V535, Q8BH74, Q03280, P34077, Q0U1G2, Q5D018, G5EEH9, Q10LJ0, Q7XMK8, Q7KZ85, Q07460, P37199, Q16UN6, B1AZI6, Q6PFX9, Q8BL97, Q9D1M0, Q9ERU9, Q96A72, Q8BTS4, Q5B630, Q6GLW1, A1CRM1	3423	73	12653	2.2786428631457625	1.3590636749993834E-5	1.941530844318251E-6	4.675903120254787E-6
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	54	1.3899613899613898	1.259003758430563E-8	O81635, Q90631, Q9BVG8, Q9FHN8, Q39575, P0C6F1, Q96M86, Q6PDL0, Q8IID4, Q99PW8, Q9NGQ2, Q9WV04, Q923J6, Q9JHU4, Q9W040, Q0VDD8, Q9NYC9, Q8J1G7, Q19542, Q39565, B1AVY7, Q96JB1, Q960Z0, Q6ZR08, P38650, O15066, Q99962, Q8TD57, Q4R628, P23678, P09496, Q8BW94, Q9W2N0, Q9C0G6, Q3V0Q1, Q9NDC9, P46871, P46872, P46873, Q96FN5, Q0III3, Q9NZ32, Q5ZKV8, Q39610, Q62909, O95239, Q91XQ0, Q8VHE6, Q9SMH5, Q6S003, Q8IVF4, Q90640, Q6ZMV9, Q8TE73	3423	98	12653	2.036827702158865	7.046395801058036E-5	8.808266296012057E-6	2.4244042751142558E-5
GOTERM_BP_DIRECT	GO:0006446~regulation of translational initiation	25	0.6435006435006435	5.828119080102715E-8	Q4G061, B5FZ19, Q7L2H7, Q6NZJ6, Q6DRC4, Q9VTU4, O43432, Q15056, A7SDW5, Q8JFP1, P41110, O00303, Q6TH15, Q7T2A5, Q6CDH3, Q5I0B5, Q6PFQ2, P20397, Q3B8M3, A2VD00, Q6PCR7, P79083, A3LXL0, P79398, Q9UBQ5	3423	33	12653	2.800352340229641	3.261466368210675E-4	3.62437692011941E-5	1.1222929903187406E-4
GOTERM_BP_DIRECT	GO:0006417~regulation of translation	45	1.1583011583011582	1.806106461679447E-7	A0JMU8, Q8BSK8, Q96J94, A1D4K4, Q9UKZ1, Q6NZJ6, O15234, P28271, Q5R4V4, Q6ZQ08, P50580, Q6GQ80, Q9ZW02, Q5RB68, P17244, Q7ZY11, A6N7Y9, P31751, P41110, Q8VE62, Q99700, Q9UHL0, Q3UHK8, Q8BN59, Q0Z8U2, Q7ZVA6, Q92616, Q8CGC7, O42958, Q5ZIW2, Q5D018, Q80XI3, Q0U1G2, Q9VZS3, Q80U58, Q8BJW6, Q7XMK8, P0A9W5, P07607, O01367, Q562C7, O77210, Q5R4R4, Q5B630, A1CRM1	3423	81	12653	2.053591716168403	0.0010103671132408731	1.0108267861785869E-4	3.47792886923326E-4
