"","variable","metric","value","stat","comparison"
"1","WBE","DO","8.58975283375315","mean","variable"
"2","WBB","DO","8.79180110497238","mean","variable"
"3","PGE","DO","11.0153071253071","mean","variable"
"4","PGB","DO","11.9945851393189","mean","variable"
"5","CIE","DO","10.8736865043583","mean","variable"
"6","CIB","DO","9.23641506646972","mean","variable"
"7","FBE","DO","10.7246467661692","mean","variable"
"8","FBB","DO","11.0622421524664","mean","variable"
"9","WBE","pH","7.81757891645867","mean","variable"
"10","WBB","pH","7.61092809364548","mean","variable"
"11","PGB","pH","7.42098644578313","mean","variable"
"12","CIE","pH","7.91775157705016","mean","variable"
"13","CIB","pH","7.64996346728662","mean","variable"
"14","FBE","pH","7.90402058779651","mean","variable"
"15","FBB","pH","7.4637056136732","mean","variable"
"16","WBE","Salinity","32.1006534954407","mean","variable"
"17","WBB","Salinity","29.599646188485","mean","variable"
"18","PGE","Salinity","30.3082818685669","mean","variable"
"19","CIB","Salinity","29.5510455844742","mean","variable"
"20","FBE","Salinity","38.6733117981849","mean","variable"
"21","FBB","Salinity","37.8873132613192","mean","variable"
"22","WBE","Temperature","18.0811406437826","mean","variable"
"23","WBB","Temperature","17.9651128622946","mean","variable"
"24","PGE","Temperature","15.1795428240741","mean","variable"
"25","PGB","Temperature","15.1495225694444","mean","variable"
"26","CIE","Temperature","16.1982709750567","mean","variable"
"27","CIB","Temperature","16.0789540816327","mean","variable"
"28","FBE","Temperature","14.8587443310658","mean","variable"
"29","FBB","Temperature","14.8194302721088","mean","variable"
"30","WBE","DO","2.0217265173908","var","variable"
"31","WBB","DO","2.34771252753272","var","variable"
"32","PGE","DO","11.6894915545773","var","variable"
"33","PGB","DO","13.2840274017918","var","variable"
"34","CIE","DO","7.16689184879725","var","variable"
"35","CIB","DO","4.68758030634706","var","variable"
"36","FBE","DO","22.4721761110836","var","variable"
"37","FBB","DO","31.3905774650153","var","variable"
"38","WBE","pH","0.00460357949080814","var","variable"
"39","WBB","pH","0.0345202535047137","var","variable"
"40","PGB","pH","0.0577509020605694","var","variable"
"41","CIE","pH","0.0268362687559623","var","variable"
