"","row","col","value"
"22","127-B","127-A",0.256890627360357
"24","127-A","127-B",0.256890627360357
"26","127-C","127-B",0.249237356653267
"28","127-B","127-C",0.249237356653267
"48","128-C","128-A",0.216514378183725
"50","128-A","128-C",0.216514378183725
"70","114-B","114-A",0.237366853572122
"72","114-remake-D","114-A",0.632916056437721
"73","114-A","114-B",0.237366853572122
"76","114-remake-D","114-B",0.396213057592093
"80","114-remake-D","114-remake-C",0.483461623427119
"81","114-A","114-remake-D",0.632916056437721
"82","114-B","114-remake-D",0.396213057592093
"83","114-remake-C","114-remake-D",0.483461623427119
"183","3-C","3-A",3.09550396537135
"186","3-C","3-B",3.16723823404441
"187","3-A","3-C",3.09550396537135
"188","3-B","3-C",3.16723823404441
"203","53-B","53-A",0.454538539999409
"205","53-remake-D","53-A",0.940914226966865
"206","53-A","53-B",0.454538539999409
"208","53-remake-C","53-B",0.52549346721372
"209","53-remake-D","53-B",1.08124266789784
"211","53-B","53-remake-C",0.52549346721372
"213","53-remake-D","53-remake-C",0.787535964053306
"214","53-A","53-remake-D",0.940914226966865
"215","53-B","53-remake-D",1.08124266789784
"216","53-remake-C","53-remake-D",0.787535964053306
"221","104-remake-D","104-A",0.63434986888265
"224","104-remake-C","104-B",0.225596913466865
"225","104-remake-D","104-B",0.75883938538712
"227","104-B","104-remake-C",0.225596913466865
"229","104-remake-D","104-remake-C",0.736333695866877
"230","104-A","104-remake-D",0.63434986888265
"231","104-B","104-remake-D",0.75883938538712
"232","104-remake-C","104-remake-D",0.736333695866877
"236","55-C","55-A",0.292097743841908
"240","55-A","55-C",0.292097743841908
"245","42-C","42-A",2.83501330004965
"248","42-C","42-B",2.85217226747258
"249","42-A","42-C",2.83501330004965
"250","42-B","42-C",2.85217226747258
"257","73-B","73-A",0.541641140486152
"259","73-A","73-B",0.541641140486152
"261","73-C","73-B",0.494880519687664
"263","73-B","73-C",0.494880519687664
"266","57-B","57-A",0.449516992998827
"267","57-C","57-A",0.647492385497227
"268","57-A","57-B",0.449516992998827
"270","57-C","57-B",1.05633331995395
"271","57-A","57-C",0.647492385497227
"272","57-B","57-C",1.05633331995395
"280","70-C","70-A",0.264611746526301
"283","70-C","70-B",0.225801084138797
"284","70-A","70-C",0.264611746526301
"285","70-B","70-C",0.225801084138797
"288","1-B","1-A",0.211472532389662
"289","1-A","1-B",0.211472532389662
